"","inst","volume","ram_length","ram_thickness","ram_extent","sigma","eid","calve","ram_vol","ram_percent","short_extent"
"240","VVV",1.08e+09,40,90,1454,464587,131421,TRUE,5234400,0.5,"yes"
"241","VVV",1.09e+09,60,90,1637,611227,85161,TRUE,8839800,0.8,"yes"
"242","BRW",7.08e+08,20,90,1784,334470,103331,NA,3211200,0.5,"yes"
"243","BRW",7.12e+08,40,90,1867,559540,124971,NA,6721200,0.9,"yes"
"244","BRW",7.16e+08,60,90,1978,893171,22101,NA,10681200,1.5,"yes"
"245","IKY",39400000,60,90,617,626491,5961,TRUE,3331800,8.5,"yes"
"246","IFE",1.33e+09,20,90,1074,433881,8521,FALSE,1933200,0.1,"yes"
"247","IFE",1.33e+09,40,90,1138,966000,17141,TRUE,4096800,0.3,"yes"
"248","IFE",1.33e+09,60,90,1330,1420000,26671,TRUE,7182000,0.5,"yes"
"249","LJK",9.5e+08,20,90,2146,732337,441,TRUE,3862800,0.4,"yes"
"250","LJK",9.55e+08,40,90,2194,1160000,3081,TRUE,7898400,0.8,"yes"
"251","LJK",9.6e+08,60,90,2332,1570000,26511,TRUE,12592800,1.3,"yes"
"252","FRJ",4.94e+08,20,90,746,426067,14411,TRUE,1342800,0.3,"yes"
"253","FRJ",4.98e+08,40,90,822,911000,14921,TRUE,2959200,0.6,"yes"
"254","FRJ",4.99e+08,60,90,978,1340000,23371,TRUE,5281200,1.1,"yes"
"255","CHG",4.69e+08,20,90,678,308897,17641,FALSE,1220400,0.3,"yes"
"256","CHG",4.71e+08,40,90,779,549936,14131,TRUE,2804400,0.6,"yes"
"257","CHG",4.74e+08,60,90,864,902000,23221,TRUE,4665600,1,"yes"
"258","ZTI",7.59e+08,20,90,1199,312000,14611,NA,2158200,0.3,"yes"
"259","ZTI",7.62e+08,40,90,1277,425488,144181,NA,4597200,0.6,"yes"
"260","ZTI",7.65e+08,60,90,1400,679886,21791,NA,7560000,1,"yes"
"261","BST",6.45e+08,40,90,1202,465998,30181,NA,4327200,0.7,"yes"
"262","BST",6.48e+08,60,90,1275,715620,20701,NA,6885000,1.1,"yes"
